name,rate,image,glb_company_size,industry,review,salary,jobs,description,office_locations
The Home Depot,-0.4545454545454547,https://media.glassdoor.com/sql/655/the-home-depot-squarelogo-1608140361711.png,1.0,Home Furniture & Housewares Stores,-0.5112781954887218,-0.6293355620559966,-0.9702962907679678,"The Home Depot, the world’s largest home improvement specialty retailer, values and rewards dedicated, knowledgeable, and experienced professionals.

We operate over 2,300 retail stores in all 50 states, the District of Columbia, Puerto Rico, the U.S. Virgin Islands, Guam, Canada, and Mexico. All of our associates have one thing in mind — helping our customers build and improve their homes. 

Join The Home Depot team today and see for yourself why we are consistently ranked as a top Fortune 500 company.",1.0
PwC,-0.2727272727272727,https://media.glassdoor.com/sql/8450/pwc-squareLogo-1688999699825.png,1.0,Accounting & Tax,-0.1858216970998927,-0.7643125783535312,-0.5544870086253773,"Our people are powered by technology to turn today’s ideas into tomorrow’s solutions.  Learn more about how you can help organizations meet the challenges and opportunities of the US marketplace in the areas of audit, tax, consulting and products and technology.

We connect people with diverse backgrounds and skillsets to solve important problems together—for our clients, our communities and for the world at large.",-0.940481043620057
Apple,0.2727272727272734,https://media.glassdoor.com/sql/1138/apple-squarelogo-1595530154096.png,1.0,Computer Hardware Development,-0.5929108485499464,-0.43877977434183035,-0.8913991449255275,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own.  

Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more.",-0.9812474520994701
US Army,-0.4545454545454547,https://media.glassdoor.com/sql/41322/us-army-squarelogo.png,1.0,National Agencies,-0.5596133190118153,-0.6527371500208943,-0.9766933566470846,"The US Department of the Army has its marching orders. One of the three military departments (along with the Air Force and Navy) of the US Department of Defense, the Army provides ground-based military forces to deter and fight wars and protect the security of the US. The army has more than 675,000 soldiers, including active duty soldiers (nearly 75%) and reservists (Army National Guard and Army Reserves). Army personnel are deployed in about 80 countries. The Army operates about 40 forts throughout the US and has bases in Africa, Europe, Japan, the Middle East, and South Korea.",-0.9673868732164697
Wells Fargo,-0.8181818181818179,https://media.glassdoor.com/sql/8876/wells-fargo-squarelogo-1569533783558.png,1.0,Banking & Lending,-0.5112781954887218,-0.7124947764312579,-0.9596345143027731,"Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $1.9 trillion in assets, proudly serves one in three U.S. households and more than 10% of small businesses in the U.S.  Wells Fargo is No. 47 on Fortune’s 2023 rankings of America’s largest corporations. In the communities we serve, the company focuses its social impact on building a sustainable, inclusive future for all by supporting housing affordability, small business growth, financial health, and a low-carbon economy. 

We ranked #2 on the 2023 LinkedIn Top Companies list – and #1 among financial services companies – as the best workplace “to grow your career” in the U.S. For more information, visit wellsfargo.com | Twitter: @wellsfargo ",-0.9804321239298818
Oracle,-0.4545454545454547,https://media.glassdoor.com/sql/1737/oracle-squarelogo-1570718316042.png,1.0,Enterprise Software & Network Solutions,-0.47690655209452204,-0.6147095695779357,-0.9319138954932671,"Oracle is the cloud leader for global business. Our technologies are transforming the world and no matter how complex, they have one thing in common: making our shared future better. Realize your potential as part of a company that’s innovating solutions to global challenges that affect billions of lives. Visit oracle.com/careers.",-0.9657562168772931
Bank of America,-0.0909090909090906,https://media.glassdoor.com/sql/8874/bank-of-america-squareLogo-1696271923493.png,1.0,Banking & Lending,-0.6015037593984962,-0.751776013372336,-0.9766933566470846,"Bank of America is one of the world’s leading financial institutions, serving individual consumers, small and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. 

We provide unmatched convenience in the United States, serving approximately 68 million consumer and small business clients with approximately 3,900 retail financial centers, approximately 15,000 ATMs and award-winning digital banking with approximately 56 million verified digital users. 

We are a global leader in wealth management, corporate and investment banking and trading across a broad range of asset classes, serving corporations, governments, institutions and individuals around the world. Bank of America offers industry-leading support to approximately 3 million small business households through a suite of innovative, easy-to-use online products and services. We serve clients through operations across the United States, its territories and more than 35 countries. 

By driving Responsible Growth, we deliver for teammates, clients, and the communities we serve.  Being a Great Place to Work for our teammates is core to our approach. Our goal continues to be a company where people want to work today and build a career.  We provide employees with access to leading benefits and programs that help teammates be well—physically, emotionally and financially.  And we provide a variety of resources to help teammates grow in their roles and build new skills. 

Our diversity—in thought, style, gender, sexual orientation, gender identity, race, ethnicity, culture, religion, age, ability, military status and experience—makes us stronger and is essential for us to serve our clients, fulfill our purpose and drive Responsible Growth.",-0.9812474520994701
AT&T,-0.8181818181818179,https://media.glassdoor.com/sql/613/at-and-t-squareLogo-1677605813073.png,1.0,Telecommunications Services,-0.5972073039742213,-0.7580442958629336,-0.9532374484236563,"Looking for a new way to connect? You’re in the right place. We are in the business of connection – to our customers, our communities, and each other.  We are invested in building strong networks, future facing technology solutions, and career opportunities that have a global impact.

We want to give you 4 reasons why you should join #LifeAtATT.

1.	Whether you’re pursuing a career in sales, technology, or something else entirely, you’re ready to connect to something bigger. 
2.	We’ve got opportunities all over the globe to do what you love.
3.	Living our values – standing for equality, pursuing excellence, and thinking big – is right in your wheelhouse.
4.	You like great benefits.

Ready? It’s all waiting for you at att.jobs, and while you’re at it check out #LifeAtATT to get the latest on how we’re living, working, and playing.

We hope to connect with you soon!  ",-0.9812474520994701
Lowe's Home Improvement,-1.0,https://media.glassdoor.com/sql/415/lowe-s-home-improvement-squareLogo-1677875740566.png,-0.5134872155251634,Home Furniture & Housewares Stores,-0.5886143931256713,-0.7521938988717092,-0.96603158018189,"Lowe’s Companies, Inc. (NYSE: LOW) is a FORTUNE® 35 home improvement company serving approximately 19 million customers a week in the United States. With the fiscal year 2022 sales of nearly $97 billion, Lowe’s and its related businesses operate or service more than 1,700 home improvement and hardware stores and employ over 300,000 associates. Based in Mooresville, N.C., Lowe’s supports the communities it serves through programs focused on creating safe, affordable housing and helping to develop the next generation of skilled trade experts. For more information, visit Lowes.com.",-1.0
Qualcomm,-0.0909090909090906,https://media.glassdoor.com/sql/640/qualcomm-squareLogo-1662140255236.png,1.0,Computer Hardware Development,-0.924812030075188,-0.02131216046803186,-0.981320567632979,Qualcomm is a company of inventors designing the cutting-edge wireless technologies the world runs on.,-0.9739094985731757
